id,Zconservrepub,scicomp_i,GWRISK,NUKERISK
262,0.04450736,0.0429,3,2
263,0.81281678,-0.0425,2,1
264,1.7505523,0.0316,4,2
265,1.2816846,2.3422,2,1
266,1.0255814,-0.3808,6,7
267,1.7505523,-0.4722,0,2
268,1.2383461,-0.017,0,5
269,0.3006105,-0.2151,1,1
270,1.7505523,1.3021,3,3
271,1.0255814,-1.3694,5,7
272,1.7505523,-0.0573,2,3
273,0.98224292,-0.8654,1,6
274,0.51337514,-0.4702,4,4
275,0.04450736,0.1173,6,3
276,0.98224292,0.2811,1,1
277,0.04450736,-0.27,7,6
278,0.51337514,-0.1844,4,3
279,0.04450736,1.7102,5,5
280,1.2816846,0.4644,3,5
281,1.2383461,-0.5387,1,1
282,0.51337514,-0.5647,1,5
283,0.04450736,0.2368,0,2
284,1.2816846,-0.5887,2,4
285,1.7505523,0.1649,3,5
286,1.2816846,2.074,6,1
287,0.04450736,1.214,3,1
288,0.3006105,-1.2297,7,4
289,1.7505523,-0.7681,2,4
290,1.2383461,-0.8808,1,3
291,1.2816846,0.6692,4,3
292,1.7505523,0.2829,2,2
293,1.7505523,0.1139,1,4
294,1.2816846,-0.4248,3,7
295,1.0255814,0.8415,2,2
296,0.51337514,-1.5644,5,5
297,1.0255814,-0.2196,1,4
298,1.2816846,-0.0925,0,3
299,1.0255814,-0.3086,3,4
300,0.76947828,-0.6761,1,3
301,1.2816846,-0.9237,2,7
302,0.76947828,0.1814,2,3
303,0.3006105,-0.719,3,7
304,0.72613978,-0.8731,7,0
305,1.2816846,1.3021,4,3
306,1.2816846,1.0174,3,5
307,1.7505523,0.5422,2,1
308,0.76947828,0.2794,3,4
309,0.2139335,-0.8141,6,7
310,0.08784585,1.775,4,4
311,0.76947828,1.0612,4,7
312,0.76947828,0.502,2,3
313,0.51337514,-0.2573,1,1
314,0.04450736,0.5913,4,5
315,1.0255814,0.3791,1,2
316,0.04450736,1.1196,6,4
317,0.04450736,-0.5182,3,7
318,0.76947828,-0.6474,7,7
319,0.51337514,-0.7308,0,1
320,0.51337514,-0.6,3,4
321,0.3006105,1.5255,6,2
322,1.2816846,-0.8654,4,4
323,1.0255814,0.1321,4,5
324,1.7505523,0.0429,7,5
325,1.0255814,2.3422,3,2
326,1.7505523,0.4442,1,1
327,1.7505523,0.278,0,1
328,0.257272,-0.0687,6,5
329,0.3006105,-0.9568,3,3
330,0.51337514,0.347,6,4
331,0.257272,-0.1911,3,6
332,1.2816846,-0.2666,2,3
333,1.2816846,-1.5727,3,4
334,0.04450736,0.5617,2,2
335,1.7505523,-0.8867,2,
336,1.0255814,-0.3815,1,3
337,1.2816846,-0.3886,4,3
338,0.98224292,-0.1703,6,2
339,0.51337514,-0.8503,5,7
340,0.04450736,1.214,6,4
341,1.7505523,0.0333,2,4
342,0.76947828,1.6983,2,2
343,1.2816846,0.1867,3,6
344,0.98224292,-0.7618,3,3
345,0.04450736,-0.0479,6,7
346,1.0255814,-0.2286,1,4
347,1.2816846,1.6983,2,3
348,1.2816846,-0.9951,1,5
349,1.7505523,0.7178,0,3
350,1.2383461,0.2924,0,3
351,0.04450736,1.4099,6,3
352,1.7505523,1.214,2,2
353,1.2816846,-0.502,2,6
354,0.76947828,2.3422,4,1
355,0.51337514,0.9155,1,6
356,0.2139335,-1.2238,4,4
357,0.51337514,-1.8258,2,7
358,0.81281678,-1.9483,1,2
359,0.3006105,2.3422,1,3
360,1.7505523,-0.9036,0,1
361,0.81281678,-0.8282,3,6
362,0.04450736,0.8611,3,4
363,1.4944492,-0.8375,0,4
364,1.0255814,0.2003,2,2
365,1.2816846,1.3524,4,4
366,0.55671364,0.2452,1,5
367,1.0255814,-2.4604,3,6
368,0.76947828,0.4295,1,4
369,1.7505523,-0.2757,3,5
370,0.76947828,0.9986,2,2
371,1.7505523,-0.1795,0,3
372,0.2139335,-1.9269,7,7
373,0.2139335,-0.6213,7,7
374,1.7505523,1.7219,0,3
375,1.2383461,-0.6761,0,7
376,1.4944492,0.11,0,2
377,0.55671364,-0.5899,2,7
378,0.04450736,1.4453,4,5
379,1.4944492,-0.7446,0,4
380,1.2816846,0.0204,0,4
381,1.0255814,0.5009,3,5
382,0.3006105,-0.9481,,7
383,0.3006105,1.6954,7,4
384,1.7505523,1.1525,3,4
385,1.7505523,-0.856,0,6
386,1.2816846,-1.0122,,3
387,0.51337514,-0.2663,1,3
388,0.04450736,1.9115,4,2
389,1.0255814,-0.0245,2,3
390,1.2816846,-0.7313,3,4
391,0.51337514,-0.8724,0,2
392,0.08784585,-0.8218,7,3
393,0.98224292,-1.0811,0,7
394,1.7505523,0.4105,1,3
395,1.2816846,-0.084,2,5
396,0.04450736,1.3226,4,5
397,0.04450736,1.3252,7,5
398,1.0255814,0.1632,2,1
399,0.76947828,2.3422,7,1
400,1.2816846,0.1357,0,1
401,1.0255814,0.075,1,3
402,1.0255814,-0.3382,5,6
403,1.0255814,-1.1507,6,6
404,0.51337514,0.4034,4,4
405,0.76947828,0.6454,0,2
406,0.55671364,-1.1499,5,7
407,1.0255814,-0.2932,3,6
408,0.2139335,-0.5696,6,6
409,1.0255814,-0.1929,3,5
410,1.2816846,-0.2222,4,6
411,1.2383461,-0.1654,0,0
412,1.2816846,0.5383,4,2
413,0.04450736,0.9253,5,2
414,0.55671364,0.0648,4,2
415,0.04450736,1.9115,4,4
416,0.51337514,-0.9436,2,2
417,1.2816846,0.4026,2,3
418,0.3006105,-0.624,1,1
419,0.3006105,1.2257,3,5
420,0.81281678,-0.8336,7,7
421,1.2816846,-0.4352,4,3
422,1.2816846,-0.01,0,2
423,0.04450736,-0.806,6,7
424,0.3006105,-0.94,7,7
425,0.98224292,-0.6223,0,4
426,0.55671364,-0.6512,3,2
427,1.7505523,0.2259,7,7
428,0.51337514,1.099,2,4
429,0.76947828,-0.0928,0,1
430,0.98224292,1.1063,2,4
431,0.3006105,1.5255,4,6
432,0.76947828,-0.6302,0,7
433,1.2383461,2.0705,1,3
434,1.2816846,-1.0976,3,2
435,1.2816846,0.3757,0,2
436,0.51337514,-0.1693,0,7
437,1.2383461,0.7715,0,6
438,0.76947828,1.9115,0,1
439,0.76947828,-0.2901,5,1
440,0.51337514,-0.7429,0,6
441,1.2816846,-1.5566,2,3
442,0.51337514,0.7156,4,6
443,1.0255814,-0.0374,2,4
444,1.7505523,0.2948,4,4
445,1.2816846,-0.4531,7,5
446,0.3006105,0.2583,0,4
447,1.2383461,1.3252,5,4
448,1.2383461,-0.2328,2,6
449,1.2816846,-0.2612,0,3
450,0.76947828,1.4543,1,1
451,1.2816846,1.0626,0,1
452,0.04450736,1.4543,4,4
453,1.7505523,-0.9961,0,3
454,1.7505523,-0.3242,0,2
455,1.2383461,1.0605,0,2
456,1.2816846,1.3021,1,2
457,0.76947828,-0.0031,1,1
458,1.0255814,1.1458,0,1
459,0.04450736,-0.3318,2,7
460,0.51337514,1.5472,0,2
461,0.72613978,-0.9011,3,3
462,0.55671364,1.5255,5,2
463,0.81281678,0.5338,3,3
464,0.51337514,-0.13,2,2
465,0.04450736,-0.1184,3,3
466,1.7505523,-0.5726,4,7
467,0.81281678,-0.5542,6,2
468,0.51337514,0.6692,1,3
469,1.2816846,0.8467,3,1
470,0.47003664,-0.8615,0,7
471,1.7505523,0.2694,1,4
472,0.3006105,1.3448,2,1
473,1.0255814,0.8111,4,3
474,1.7505523,0.7474,2,6
475,1.7505523,1.5335,4,1
476,0.04450736,1.3802,7,4
477,0.257272,0.1927,6,6
478,1.2816846,0.0266,2,2
479,0.3006105,0.8548,4,3
480,0.04450736,1.5255,1,1
481,1.7505523,0.4873,0,2
482,1.0255814,-1.9015,5,7
483,1.2816846,-0.5934,3,4
484,1.0255814,-0.9067,2,4
485,0.3006105,0.1503,7,7
486,1.7505523,0.0341,4,5
487,0.3006105,-0.2414,3,5
488,0.98224292,-0.4496,0,1
489,1.2816846,0.3275,4,4
490,0.04450736,-2.4604,,
491,1.2816846,-1.6863,0,4
492,1.7505523,0.7981,1,5
493,1.2816846,-0.5399,0,6
494,1.0255814,0.2222,0,3
495,0.76947828,1.4154,0,2
496,0.04450736,-0.3664,3,7
497,0.51337514,0.8111,0,1
498,1.0255814,0.9986,0,4
499,1.2816846,0.4126,4,3
500,1.2816846,-0.1545,2,2
501,0.76947828,0.1649,6,7
502,1.2816846,1.805,4,4
503,0.55671364,1.6983,5,3
504,1.4944492,-1.0684,0,2
505,0.04450736,-0.3095,3,6
506,0.51337514,0.6692,1,4
507,0.98224292,-0.9008,7,7
508,0.3006105,-0.5555,4,3
509,1.0255814,0.0037,3,5
510,1.0255814,1.861,1,2
511,0.76947828,-0.4963,2,2
512,1.2816846,-0.3111,0,1
513,1.0255814,-0.5195,1,3
514,1.2816846,-0.3061,0,6
515,1.7505523,0.9954,0,1
516,0.2139335,-0.3564,7,7
517,1.0255814,1.1784,7,4
518,0.04450736,1.9115,2,
519,1.2816846,-0.8297,2,3
520,0.51337514,0.4439,2,7
521,1.7505523,-0.0432,1,1
522,0.3006105,-0.168,5,4
523,1.0255814,-0.0664,4,4
524,0.98224292,0.2092,0,1
525,0.04450736,-1.7221,6,4
526,1.7505523,-0.3363,0,7
527,1.2816846,-1.5433,,6
528,1.2816846,0.6382,2,2
529,1.0255814,0.8111,6,5
530,1.0255814,-0.4881,0,5
531,0.76947828,0.8698,0,1
532,0.76947828,0.9798,1,4
533,1.7505523,0.6605,2,2
534,0.76947828,1.5255,6,0
535,0.76947828,0.5457,1,2
536,0.47003664,-0.8154,0,7
537,1.7505523,-0.3853,0,2
538,0.76947828,-1.0516,0,1
539,1.2816846,-0.1325,1,6
540,0.04450736,0.3399,2,6
541,0.76947828,0.3146,1,1
542,0.51337514,-1.261,7,7
543,0.76947828,0.5239,3,3
544,0.3006105,-0.2564,1,4
545,0.47003664,-0.9852,3,7
546,1.2383461,1.5472,1,1
547,0.04450736,0.4679,4,3
548,0.04450736,-1.0161,5,7
549,1.0255814,-0.6866,5,5
550,0.2139335,-1.4605,7,3
551,0.51337514,0.2811,2,2
552,1.7505523,-1.4587,1,1
553,1.0255814,0.9507,5,5
554,0.51337514,-0.4895,4,5
555,0.3006105,1.5335,1,1
556,0.81281678,-0.7983,0,7
557,0.47003664,-0.2232,5,7
558,1.2816846,-0.1364,0,3
559,1.2816846,-0.669,5,7
560,0.76947828,-0.1545,0,1
561,1.2816846,0.8698,2,4
562,0.76947828,0.8174,1,2
563,0.76947828,0.8108,3,3
564,0.2139335,-1.2346,0,7
565,1.2816846,-0.5791,0,3
566,1.2816846,-0.3496,1,1
567,1.7505523,0.8313,0,1
568,0.76947828,0.7323,0,2
569,1.7505523,0.3135,7,3
570,0.76947828,-0.6706,2,3
571,0.55671364,0.6692,2,4
572,1.0255814,1.3021,2,3
573,0.04450736,1.0283,4,5
574,0.76947828,1.6983,2,4
575,1.0255814,0.3863,1,1
576,0.2139335,-0.2834,2,7
577,0.08784585,0.0564,4,6
578,1.7505523,1.0487,0,3
579,1.0255814,0.1964,3,7
580,0.76947828,1.4001,2,4
581,1.7505523,0.514,3,0
582,0.55671364,0.4001,1,1
583,0.76947828,1.214,2,7
584,0.51337514,0.1927,1,5
585,1.2383461,-0.1529,0,3
586,0.04450736,1.0174,7,4
587,1.7505523,-0.1444,2,4
588,1.2383461,0.4001,0,1
589,1.7505523,0.2702,0,3
590,0.81281678,-1.0793,4,6
591,1.2816846,-1.257,1,7
592,1.0255814,0.9734,2,1
593,1.0255814,0.2707,3,3
594,0.04450736,0.2006,2,4
595,0.04450736,0.7323,5,6
596,0.76947828,0.2368,2,3
597,1.2383461,-0.6543,1,2
598,0.04450736,-0.8218,6,4
599,0.98224292,0.2006,0,1
600,1.7505523,0.4439,0,6
601,0.04450736,1.6983,6,7
602,0.76947828,1.5947,5,2
603,1.0255814,-0.4961,3,4
604,0.51337514,0.0429,0,2
605,0.04450736,0.8548,2,6
606,0.81281678,-0.676,3,7
607,1.2816846,-0.3479,2,4
608,1.2816846,0.3646,1,2
609,1.0255814,-0.6295,2,3
610,0.04450736,1.3021,6,5
611,1.7505523,-0.5002,3,5
612,1.2816846,0.6894,1,
613,1.4944492,0.258,0,1
614,1.2816846,0.4739,0,1
615,1.0255814,0.6456,2,3
616,1.0255814,0.2966,4,4
617,0.04450736,-0.1351,6,6
618,0.3006105,-0.023,3,2
619,0.3006105,0.4051,2,4
620,0.81281678,0.8603,0,3
621,1.0255814,-1.3391,0,1
622,1.0255814,-0.4767,7,5
623,0.76947828,0.9476,0,5
624,0.98224292,-0.319,7,7
625,1.2816846,-0.4545,3,4
626,1.2383461,1.1296,1,2
627,1.7505523,-0.7334,2,1
628,1.7505523,1.0626,1,5
629,0.98224292,1.0174,0,0
630,0.76947828,0.371,1,2
631,1.7505523,2.3422,0,1
632,0.04450736,-0.3261,6,5
633,0.04450736,-1.3087,3,4
634,1.2816846,0.2829,2,3
635,1.0255814,-0.0917,5,5
636,0.51337514,-1.4901,3,6
637,0.51337514,-0.659,3,3
638,0.04450736,1.6955,1,2
639,1.2816846,0.077,0,1
640,1.0255814,2.3422,3,3
641,1.2383461,2.3422,0,2
642,1.0255814,0.6074,4,6
643,1.2383461,1.4154,1,3
644,1.0255814,-0.7516,3,1
645,1.0255814,1.3524,1,5
646,0.98224292,-0.3867,0,4
647,1.0255814,-1.3337,0,2
648,0.76947828,-2.1089,,3
649,1.2383461,0.1506,2,2
650,1.4944492,-1.1996,7,7
651,0.04450736,-0.5271,3,5
652,1.7505523,0.8698,3,7
653,1.0255814,0.6801,0,1
654,0.08784585,-1.5658,2,7
655,0.76947828,0.9749,3,3
656,0.51337514,0.5565,5,3
657,1.0255814,-0.005,1,2
658,0.3006105,-0.5282,5,2
659,0.3006105,0.0143,3,6
660,1.0255814,-0.4835,0,1
661,0.3006105,1.3524,4,4
662,0.04450736,2.3422,5,2
663,0.04450736,0.4397,3,4
664,1.0255814,1.295,0,5
665,0.04450736,-0.4469,4,5
666,0.81281678,1.3574,0,2
667,1.4944492,-0.0987,0,4
668,0.04450736,0.459,7,5
669,0.04450736,0.0273,2,4
670,1.0255814,0.8206,2,2
671,1.0255814,-1.5554,1,1
672,1.7505523,-0.4741,0,5
673,1.7505523,1.1436,1,2
674,1.7505523,-0.3789,1,4
675,0.04450736,-0.4401,3,4
676,0.04450736,0.5899,4,6
677,1.0255814,0.8548,0,3
678,0.04450736,0.2031,4,5
679,1.2816846,-1.8515,3,0
680,1.2816846,0.1901,2,6
681,1.2816846,0.2355,1,4
682,0.55671364,-0.3291,6,4
683,0.55671364,-0.1042,4,6
684,0.76947828,1.3211,3,3
685,1.2383461,1.3021,2,2
686,1.7505523,1.0868,0,1
687,1.2383461,0.3275,0,1
688,1.7505523,0.5899,2,1
689,0.51337514,0.8598,1,4
690,0.51337514,0.4761,1,7
691,1.7505523,-0.5327,0,2
692,0.81281678,-0.2219,7,7
693,1.4944492,-0.5791,1,1
694,1.7505523,1.9115,0,0
695,1.7505523,-0.4953,0,1
696,1.7505523,-0.7446,1,6
697,1.2816846,-1.3728,3,1
698,0.04450736,-0.4176,1,3
699,0.04450736,0.8706,6,7
700,1.7505523,1.0626,0,0
701,1.2383461,-0.3229,2,2
702,0.04450736,-0.867,6,7
703,1.0255814,-0.3777,0,1
704,0.04450736,1.3598,5,4
705,0.55671364,-0.8196,4,5
706,0.51337514,0.6219,1,1
707,0.55671364,0.0295,0,2
708,1.2816846,-0.3571,0,2
709,0.3006105,0.4001,3,3
710,0.04450736,1.0626,4,5
711,0.04450736,-0.226,7,3
712,0.04450736,1.1208,3,4
713,0.51337514,-1.9243,2,3
714,0.04450736,-0.3472,6,4
715,0.51337514,-0.2242,0,5
716,1.2816846,1.9115,2,5
717,0.04450736,-1.272,3,3
718,0.76947828,0.7323,0,2
719,0.98224292,0.8935,0,4
720,0.76947828,1.6378,3,3
721,0.81281678,-0.9188,5,3
722,0.04450736,-1.4159,0,6
723,0.04450736,-0.795,6,7
724,1.7505523,1.3582,0,1
725,1.0255814,0.6692,2,1
726,0.04450736,-1.1706,3,7
727,1.7505523,-0.7305,0,2
728,0.04450736,-0.2176,4,3
729,0.98224292,2.3422,5,6
730,0.08784585,0.0161,4,3
731,1.7505523,-1.2981,1,3
732,1.7505523,1.6983,1,2
733,0.04450736,-0.0399,3,6
734,1.7505523,0.4761,2,1
735,1.0255814,-2.0514,2,4
736,0.04450736,-1.3119,3,6
737,1.2816846,0.3757,0,2
738,0.55671364,-0.1281,4,3
739,0.04450736,-0.2127,5,5
740,1.0255814,1.3093,2,2
741,1.2383461,-0.6069,1,6
742,1.7505523,1.861,1,1
743,0.04450736,-1.5265,3,7
744,0.51337514,-0.4417,5,0
745,0.04450736,0.6657,6,2
746,0.76947828,2.074,2,3
747,0.04450736,0.6047,0,2
748,1.2816846,0.7612,4,1
749,0.04450736,1.0018,6,5
750,0.76947828,2.3422,2,1
751,1.2816846,-0.8,7,7
752,1.0255814,-0.9015,1,3
753,0.04450736,0.3511,5,6
754,0.04450736,0.8603,5,5
755,0.04450736,0.3409,7,7
756,1.2383461,1.1781,1,3
757,1.2816846,-0.031,1,2
758,0.2139335,-1.2484,2,4
759,1.2816846,0.5778,0,4
760,0.55671364,0.1649,4,5
761,0.76947828,-0.8016,0,2
762,0.04450736,0.0273,2,3
